Energy,day,time,index,
0,8112018,2321,1,5
5,8112018,2341,1,
5,8112018,2359,1,
0,9112018,18,1,5no_tvec
5,9112018,21,1,
5,9112018,26,1,
5,9112018,39,1,
5,9112018,124,1,.
5,9112018,129,1,.
5,9112018,145,1,.
5,9112018,205,1,.
5,9112018,214,1,.
5,9112018,220,1,.
4,9112018,234,1,.
4,9112018,241,1,
4,9112018,251,1,
4,9112018,318,1,
3,9112018,342,1,.
3,9112018,356,1,
3,9112018,358,1,
3,9112018,419,1,
3,9112018,430,1,
3,9112018,439,1,
3,9112018,449,1,
3,9112018,454,1,
4,9112018,513,1,
4,9112018,533,1,
2,9112018,630,1,
2,9112018,637,1,
2,9112018,643,1,
2,9112018,650,1,
2,9112018,656,1,
2,9112018,703,1,
2,9112018,710,1,
4,9112018,720,1,
0,9112018,726,1,4
4,9112018,733,1,
5,9112018,800,1,.
5,9112018,806,1,.
